order_id,customer_id,order_date,payment_method,order_status
1,144,2026-07-12,naver_pay,completed
2,149,2025-10-02,kakao_pay,completed
3,34,2026-03-13,naver_pay,completed
4,92,2025-10-12,kakao_pay,completed
5,6,2026-04-17,bank_transfer,cancelled
6,20,2025-07-06,bank_transfer,completed
7,28,2025-08-08,kakao_pay,completed
8,99,2026-02-04,naver_pay,cancelled
9,93,2026-05-12,naver_pay,completed
10,56,2026-01-22,naver_pay,completed
11,28,2025-10-26,bank_transfer,complete
12,81,2026-08-05,card,completed
13,135,2026-08-08,bank_transfer,completed
14,135,2026-04-07, card ,refunded
15,126,2025-07-02,kakao_pay,cancelled
16,43,2025-09-08,card,completed
17,91,2025-11-17,naver_pay,cancelled
18,100,2026-05-27,kakao_pay,completed
19,3,2026-02-02,naver_pay,completed
20,34,2025-12-30,naver_pay,cancelled
21,129,2026-02-13,bank_transfer,completed
22,127,2025-08-05,bank_transfer,cancelled
23,93,2025-08-06,bank_transfer,completed
24,20,2025-11-30,bank_transfer,completed
25,28,2025-08-21,card,completed
26,121,2026-06-09,bank_transfer,refunded
27,96,2025-08-19,kakao_pay,completed
28,69,2025-11-18,card,completed
29,121,2026-03-04,card,Complete
30,37,2025-10-29,kakao_pay,completed
31,73,2026-07-05,kakao_pay,refunded
32,27,2026-05-24,kakao_pay,completed
33,43,2026-04-09,card,refunded
34,122,2025-12-31,card,refunded
35,57,2026-05-11,bank_transfer,completed
36,12,2026-03-20,kakao_pay,completed
37,56,2025-07-10,kakao_pay,completed
38,2,2026-03-21,bank_transfer,completed
39,99,2025-11-29,naver_pay,completed
40,24,2026-03-25,card,completed
41,107,2026-01-08,kakao_pay,cancelled
42,55,2026-03-02,card,completed
43,40,2026-02-21,kakao_pay,completed
44,128,2026-08-01,bank_transfer,refunded
45,126,2025-11-14,bank_transfer,completed
46,47,2025-10-09,naver_pay,completed
47,140,2026-06-04,bank_transfer,COMPLETED
48,127,2026-04-05,naver_pay,completed
49,54,2026-06-02,kakao_pay,refunded
50,104,2026-08-14,card,completed
51,12,2025-10-27,naver_pay,completed
52,120,2026-06-22,kakao_pay,completed
53,41,2026-03-13,bank_transfer,cancelled
54,115,2026-08-21,kakao_pay,completed
55,82,2025-12-29,kakao_pay,completed
56,78,2025-09-07,card,refunded
57,142,2025-07-01,kakao_pay,refunded
58,126,2025-07-02,kakao_pay ,cancelled
59,38,2026-03-25,naver_pay,completed
60,114,2025-10-05,kakao_pay,completed
61,23,2026-05-27,bank_transfer,completed
62,105,2026-04-16,card,completed
63,150,2026-06-08,bank_transfer,완료
64,73,2025-07-07,bank_transfer,cancelled
65,106,2025-12-18,kakao_pay,completed
66,95,2025-11-17,kakao_pay,cancelled
67,148,2026-03-20,kakao_pay,cancelled
68,138,2026-04-01,bank_transfer,completed
69,120,2026-08-02,kakao_pay,cancelled
70,34,2025-12-31,bank_transfer,completed
